ICAO;NAME;ELEVEATION IN FT;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH
AGGM;MUNDA;9;7;5906;25;5906;;;;;;;;;;;;
AGGN;GIZO;14;14;2946;32;2946;;;;;;;;;;;;
AGGO;MONO/STIRLING ISLAND;35;4;3281;22;3281;;;;;;;;;;;;
AGGP;PARASI;100;12;2625;30;2625;;;;;;;;;;;;
AGGQ;ONTONG JAVA;5;9;2641;27;2641;;;;;;;;;;;;
AGGR;RENNELL/TINGOA;82;12;2362;30;2362;;;;;;;;;;;;
AGGS;SEGHE;5;10;3002;28;3002;;;;;;;;;;;;
AGGT;SANTA ANNA;132;11;2690;29;2690;;;;;;;;;;;;
AGGU;MARAU/PARURU;3;5;2625;23;2625;;;;;;;;;;;;
AGGV;SUAVANAO;20;4;2789;22;2789;;;;;;;;;;;;
AGGY;YANDINA/RUSSELL ISLANDS;66;12;3051;30;3051;;;;;;;;;;;;
AGKG;KAGHAU;10;14;2428;32;2428;;;;;;;;;;;;
AGLM;LOMLOM;6;10;3281;28;3281;;;;;;;;;;;;
AGOB;MANAOBA;14;12;3281;30;3281;;;;;;;;;;;;
AGRC;RINGICOVE;26;1;2461;19;2461;;;;;;;;;;;;
AK33;HERENDEEN BAY;20;7;970;12;1090;25;970;30;1090;;;;;;;;
AK51;WILDER/NATWICK LLC;288;5;4200;23;4200;;;;;;;;;;;;
AK53;STONY MOUNTAIN LODGE;1197;3;1227;21;1227;;;;;;;;;;;;
AK71;LONELY AS;17;7;5000;25;5000;;;;;;;;;;;;
AK75;CANDLE NO 2;15;2;3880;20;3880;;;;;;;;;;;;
AL05;SEHOY;331;4;5000;22;5000;;;;;;;;;;;;
AL44;MOUNDVILLE;162;9;2053;18;2400;27;2053;36;2400;;;;;;;;
ANYN;NAURU INTL;22;12;7054;30;7054;;;;;;;;;;;;
AYBK;BUKA;8;4;5115;22;5115;;;;;;;;;;;;
AYBU;BULOLO;2193;15;4373;33;4373;;;;;;;;;;;;
AYCH;CHIMBU;4974;3;3366;21;3366;;;;;;;;;;;;
AYDU;DARU;20;14;4593;32;4593;;;;;;;;;;;;
AYGA;GOROKA;5199;17L;4695;17R;5400;35L;5400;35R;4695;;;;;;;;
AYGB;GOBE;178;14;3445;32;3445;;;;;;;;;;;;
AYGN;GURNEY;61;9;5545;27;5545;;;;;;;;;;;;
AYGR;GIRUA;303;3;5495;21;5495;;;;;;;;;;;;
AYHK;HOSKINS;35;12;6234;30;6234;;;;;;;;;;;;
AYKA;LOSUIA;21;14;5348;32;5348;;;;;;;;;;;;
AYKI;KIUNGA;106;7;3937;25;3937;;;;;;;;;;;;
AYKK;KIKORI;40;12;2313;30;2313;;;;;;;;;;;;
AYKM;KEREMA;8;14;3097;32;3097;;;;;;;;;;;;
AYKV;KAVIENG;11;12;5584;30;5584;;;;;;;;;;;;
AYKY;KUNAYE;175;12;3937;30;3937;;;;;;;;;;;;
AYMD;MADANG;18;7;5151;25;5151;;;;;;;;;;;;
AYMH;MT HAGEN;5367;8;3599;12;7185;26;3599;30;7185;;;;;;;;
AYMN;MENDI;5672;17;4396;35;4396;;;;;;;;;;;;
AYMO;MOMOTE;12;16;5938;34;5938;;;;;;;;;;;;
AYMR;MORO;2741;9;5807;27;5807;;;;;;;;;;;;
AYMS;MISIMA;21;8;3937;26;3937;;;;;;;;;;;;
AYNZ;NADZAB;238;9;8005;27;8005;;;;;;;;;;;;
AYPY;JACKSONS;129;14L;9022;14R;4265;32L;4265;32R;9022;;;;;;;;
AYTA;TARI;5491;14;5197;32;5197;;;;;;;;;;;;
AYTB;TABUBIL;1570;14;4232;32;4232;;;;;;;;;;;;
AYTK;TOKUA;49;10;5643;28;5643;;;;;;;;;;;;
AYVN;VANIMO;16;12;5774;30;5774;;;;;;;;;;;;
AYWD;WAPENAMANDA;5886;14;5052;32;5052;;;;;;;;;;;;
AYWK;BORAM;16;10;5249;28;5249;;;;;;;;;;;;
AYXM;KOMO;5223;16;10499;34;10499;;;;;;;;;;;;
AZ82;MOGOLLON;6657;3;3420;21;3420;;;;;;;;;;;;
BGAA;AASIAAT;74;11;2621;29;2621;;;;;;;;;;;;
BGBW;NARSARSUAQ;112;6;6004;24;6004;;;;;;;;;;;;
BGCO;NERLERIT INAAT;45;18;3281;36;3281;;;;;;;;;;;;
BGGH;NUUK;283;5;3117;23;3117;;;;;;;;;;;;
BGJN;ILULISSAT;95;7;2772;25;2772;;;;;;;;;;;;
BGKK;KULUSUK;117;11;3934;29;3934;;;;;;;;;;;;
BGMQ;MANIITSOQ;91;16;2621;34;2621;;;;;;;;;;;;
BGMV;MESTERSVIG;56;14;5906;32;5906;;;;;;;;;;;;
BGNO;STATION NORD;80;3;5906;21;5906;;;;;;;;;;;;
BGPT;PAAMIUT;120;17;2621;35;2621;;;;;;;;;;;;
BGQQ;QAANAAQ;51;17;2953;35;2953;;;;;;;;;;;;
BGSF;KANGERLUSSUAQ;165;9;9219;27;9219;;;;;;;;;;;;
BGSS;SISIMIUT;33;13;2621;31;2621;;;;;;;;;;;;
BGTL;THULE AB;252;8;9995;26;9995;;;;;;;;;;;;
BGUK;UPERNAVIK;414;5;2621;23;2621;;;;;;;;;;;;
BGUQ;QAARSUT;289;15;2953;33;2953;;;;;;;;;;;;
BIAR;AKUREYRI;7;1;7874;19;7874;;;;;;;;;;;;
BIBA;BAKKI;33;3;2625;12;3281;21;2625;30;3281;;;;;;;;
BIBD;BILDUDALUR;26;4;3084;22;3084;;;;;;;;;;;;
BIBL;BLONDUOS;153;3;3182;21;3182;;;;;;;;;;;;
BIDV;DJUPIVOGUR;6;17;2444;35;2444;;;;;;;;;;;;
BIEG;EGILSSTADIR;75;4;6070;22;6070;;;;;;;;;;;;
BIGJ;GJOGUR;90;4;3150;22;3150;;;;;;;;;;;;
BIGR;GRIMSEY;81;17;3379;35;3379;;;;;;;;;;;;
BIHK;HOLMAVIK;90;2;3280;20;3280;;;;;;;;;;;;
BIHL;HELLA;135;4;3373;11;1821;22;3373;29;1821;;;;;;;;
BIHN;HORNAFIRDI;24;18;4921;36;4921;;;;;;;;;;;;
BIHU;HUSAVIK;48;2;5259;20;5259;;;;;;;;;;;;
BIHZ;HUSAFELL;385;10;2428;28;2428;;;;;;;;;;;;
BIIS;ISAFJORDUR;8;8;4593;26;4593;;;;;;;;;;;;
BIKF;KEFLAVIK;169;1;10020;10;10056;19;10020;28;10056;;;;;;;;
BIKL;KIRKJUBAEJARKLAUSTUR;71;8;2621;26;2621;;;;;;;;;;;;
BIKP;KOPASKER;36;12;2621;30;2621;;;;;;;;;;;;
BIKR;SAUDARKROKUR;9;18;6191;36;6191;;;;;;;;;;;;
BINF;NORDFJORDUR;6;8;3182;26;3182;;;;;;;;;;;;
BIRF;RIF;25;5;3225;11;2697;23;3225;29;2697;;;;;;;;
BIRG;RAUFARHOFN;65;6;3533;24;3533;;;;;;;;;;;;
BIRK;REYKJAVIK;45;1;5141;13;4035;19;5141;31;4035;;;;;;;;
BIRL;REYKJAHLID;1031;2;2621;20;2621;;;;;;;;;;;;
BISA;SAUDARFLUGVOLLUR;2200;3;2428;6;3871;10;2887;13;2165;18;2100;21;2428;24;3871;28;2887
BISF;SELFOSS;47;5;2618;14;2605;23;2618;32;2605;;;;;;;;
BISL;SKAFTAFELL;260;15;2001;16;3346;33;2001;34;3346;;;;;;;;
BITE;THINGEYRI;28;14;3556;32;3556;;;;;;;;;;;;
BITM;THORSMORK;634;9;2526;27;2526;;;;;;;;;;;;
BITN;THORSHOFN;64;2;3934;20;3934;;;;;;;;;;;;
BIVI;VIK;81;7;2336;25;2336;;;;;;;;;;;;
BIVM;VESTMANNAEYJAR;326;3;3806;12;3934;21;3806;30;3934;;;;;;;;
BIVO;VOPNAFJORDUR;10;5;2904;23;2904;;;;;;;;;;;;
BKPR;ADEM JASHARI;1794;17;8205;35;8205;;;;;;;;;;;;
C01A;PURKEYPILE;2041;5;1176;23;1176;;;;;;;;;;;;
C0AK;PILOT STATION;470;4;4000;22;4000;;;;;;;;;;;;
C15Z;MCCARTHY;1533;1;3501;19;3501;;;;;;;;;;;;
C1KC;KALAKAKET CREEK AS;1598;9;4000;27;4000;;;;;;;;;;;;
C20K;QUAIL CREEK;1576;16;1650;34;1650;;;;;;;;;;;;
C2AK;LIME VILLAGE;545;10;1500;28;1500;;;;;;;;;;;;
C2K5;TELIDA;650;2;1900;20;1900;;;;;;;;;;;;
C2Z2;EUREKA CREEK;700;16;1500;34;1500;;;;;;;;;;;;
C3AK;DRY BAY;33;5;3600;23;3600;;;;;;;;;;;;
C3T4;TETLIN;1671;8;3300;26;3300;;;;;;;;;;;;
C3Z1;FEATHER RIVER;325;12;1190;30;1190;;;;;;;;;;;;
C4A2;ATMAUTLUAK;19;15;3000;33;3000;;;;;;;;;;;;
C4AK;LIVENGOOD CAMP;428;15;3000;33;3000;;;;;;;;;;;;
C4K0;PEDRO BAY;84;9;3002;27;3002;;;;;;;;;;;;
C4K5;OUZINKIE;100;8;3300;26;3300;;;;;;;;;;;;
C4KA;TUNUNAK;62;16;3300;34;3300;;;;;;;;;;;;
C4Z9;JAKOLOF BAY;5;12;1000;30;1000;;;;;;;;;;;;
C51Z;MINTO AL WRIGHT;500;2;3400;20;3400;;;;;;;;;;;;
C5A8;ALEKNAGIK NEW;63;15;2030;33;2030;;;;;;;;;;;;
C5BK;BLACK RAPIDS;2125;14;2250;32;2250;;;;;;;;;;;;
C5CD;CHANDALAR SHELF;3222;1;2529;19;2529;;;;;;;;;;;;
C5HO;HOPE;200;16;2060;34;2060;;;;;;;;;;;;
C5KS;KASILOF;125;1;2400;19;2400;;;;;;;;;;;;
C5NK;NAKNEK;70;8;1950;14;1836;26;1950;32;1836;;;;;;;;
C5QC;QUARTZ CREEK KOUGAROK;416;12;2960;30;2960;;;;;;;;;;;;
C5Z5;KANTISHNA;1578;10;1887;28;1887;;;;;;;;;;;;
C6AK;RAINY PASS LODGE;1900;11;2100;29;2100;;;;;;;;;;;;
C6R7;OLD HARBOR;55;3;2750;21;2750;;;;;;;;;;;;
C76Z;NAKEEN;50;4;800;22;800;;;;;;;;;;;;
C94Z;NOME CITY;69;3;1950;21;1950;;;;;;;;;;;;
C95Z;BRADLEY SKY RANCH;483;15;4100;33;4100;;;;;;;;;;;;
C9A8;UGASHIK;44;6;3100;24;3100;;;;;;;;;;;;
C9Z8;LEVELOCK;56;1;3284;19;3284;;;;;;;;;;;;
C9Z9;LAWING;484;15;2355;33;2355;;;;;;;;;;;;
CA13;BOLD;900;14;1000;32;1000;;;;;;;;;;;;
CA35;SAN RAFAEL;5;4;2700;22;2700;;;;;;;;;;;;
CA51;THE SEA RANCH;360;12;2600;30;2600;;;;;;;;;;;;
CA57;ALSEK RIVER;53;7;1860;25;1860;;;;;;;;;;;;
CA61;TUNTUTULIAK;16;2;3025;20;3025;;;;;;;;;;;;
CA63;TWIN HILLS;82;18;3000;36;3000;;;;;;;;;;;;
CA70;DANGEROUS RIVER;50;2;1800;20;1800;;;;;;;;;;;;
CA79;CHIGNIK LAKE;50;8;2800;26;2800;;;;;;;;;;;;
CA88;SAN ARDO;441;14;2000;32;2000;;;;;;;;;;;;
CA92;PARADISE SKYPARK;1300;17;3017;35;3017;;;;;;;;;;;;
CAA2;ST-ANDRE-AVELLIN;550;3;2870;21;2870;;;;;;;;;;;;
CAA4;ST-APOLLINAIRE AIRPRO;380;14;2360;32;2360;;;;;;;;;;;;
CAA8;INVERMERE;2820;15;3000;33;3000;;;;;;;;;;;;
CAD4;TRAIL;1427;16;4001;34;4001;;;;;;;;;;;;
CAD5;MERRITT;2085;3;4003;21;4003;;;;;;;;;;;;
CAF2;CAYUGA EAST;620;17;3509;35;3509;;;;;;;;;;;;
CAF4;TSUNIAH LAKE LODGE;4000;4;4000;22;4000;;;;;;;;;;;;
CAG2;AEROGATE;1980;11;1900;29;1900;;;;;;;;;;;;
CAG3;CHILKO LAKE TSYLOS PARK LODGE;3850;18;3200;36;3200;;;;;;;;;;;;
